brand,kilometers,model,transmission,year
Renault,104000.0,Twingo,Mecánica,2012.0
Hyundai,92800.0,TUCSON IX-35,Mecánica,2012.0
Kia,113000.0,Sorento EX v6,Automática,2012.0
Suzuki,48800.0,Vitara,Automática,2018.0
Chevrolet,115000.0,Spark,Mecánica,2012.0
Kia,133500.0,Sportage,Mecánica,2012.0
Mazda,137000.0,3,Mecánica,2012.0
Chevrolet,136000.0,Aveo,Mecánica,2012.0
Renault,96713.0,Logan,Mecánica,2012.0
Chevrolet,86000.0,Aveo,Mecánica,2012.0
Chevrolet,240000.0,2012,Mecánica,2012.0
Geely,93000.0,Ec,Mecánica,2012.0
MG,45000.0,GT,Mecánica,2018.0
Chevrolet,58000.0,2018,Mecánica,2018.0
Nissan,98000.0,Frontier,Mecánica,2012.0
Kia,130000.0,Sportage,Automática,2012.0
Mercedes-Benz,76500.0,Clase C,Mecánica,2012.0
Mazda,59000.0,3,Automática,2018.0
Chevrolet,45600.0,Spark,Mecánica,2018.0
Mazda,76000.0,CX-5,Automática,2018.0
Nissan,84500.0,Tiida,Mecánica,2012.0
Mazda,62856.0,3,Automática,2018.0
Volkswagen,27000.0,Voyage,Mecánica,2018.0
Renault,40200.0,Stepway,Mecánica,2018.0
Nissan,230000.0,Sentra,Mecánica,2012.0
Renault,99000.0,Logan,Mecánica,2012.0
Mazda,48000.0,3,Automática,2018.0
Chevrolet,23000.0,Spark GT,Mecánica,2018.0
Chevrolet,138000.0,Captiva,Mecánica,2012.0
Renault,110000.0,Sandero,Mecánica,2012.0
Nissan,32000.0,TIIDA HB,Mecánica,2012.0
Chevrolet,113000.0,Spark GT,Mecánica,2012.0
Toyota,60000.0,Hilux,Automática,2018.0
Renault,95000.0,Logan,Mecánica,2018.0
Mazda,59300.0,CX-5,Automática,2018.0
Renault,40000.0,Sandero,Automática,2018.0
Nissan,49251.0,March,Automática,2018.0
Toyota,40000.0,Prado,Automática,2018.0
Kia,45000.0,Rio,Mecánica,2018.0
