brand,kilometers,model,transmission,year
117,116000.0,312,3,2012.0
50,99000.0,678,3,2012.0
25,94000.0,281,3,2012.0
25,126000.0,281,3,2012.0
25,135000.0,1503,1,2012.0
145,99000.0,1395,3,2012.0
25,87688.0,532,3,2012.0
25,139000.0,409,1,2012.0
145,39000.0,1516,3,2012.0
145,38000.0,1516,3,2012.0
145,131000.0,932,3,2012.0
180,107000.0,843,1,2012.0
130,169000.0,704,3,2012.0
172,150000.0,800,3,2012.0
123,70000.0,464,1,2012.0
145,38000.0,1516,3,2012.0
117,33729.0,70,1,2012.0
145,31000.0,1288,3,2018.0
123,76397.0,481,1,2012.0
50,42000.0,678,1,2018.0
25,30000.0,1481,3,2018.0
145,72000.0,932,1,2018.0
89,58016.0,1193,3,2018.0
50,30000.0,678,1,2018.0
180,57000.0,1570,3,2018.0
25,23000.0,1362,1,2018.0
145,110000.0,1498,3,2018.0
145,52000.0,932,1,2018.0
145,33800.0,1288,1,2018.0
25,37000.0,1362,3,2018.0
50,42000.0,622,1,2018.0
50,5300.0,678,1,2018.0
117,30800.0,136,1,2018.0
180,33500.0,1570,3,2018.0
25,50000.0,619,1,2018.0
89,50800.0,1193,3,2018.0
180,35000.0,1570,3,2018.0
89,74500.0,1106,3,2018.0
25,43000.0,1269,3,2018.0
25,70000.0,1362,1,2018.0
130,53000.0,704,3,2018.0
172,42000.0,1255,1,2018.0
117,24020.0,397,1,2018.0
145,75000.0,932,1,2018.0
72,10500.0,382,1,2018.0
145,28000.0,578,1,2018.0
3,16000.0,1138,1,2018.0
3,67200.0,1138,1,2018.0
89,60000.0,1193,3,2018.0
145,51200.0,1288,3,2018.0
172,55000.0,1116,1,2018.0
145,54000.0,246,1,2018.0
130,168000.0,704,3,2018.0
25,34700.0,99,1,2018.0
180,40000.0,528,1,2018.0
117,31000.0,136,1,2018.0
128,45000.0,966,1,2018.0
25,41000.0,1481,3,2018.0
3,55000.0,1135,1,2018.0
172,24000.0,691,1,2018.0
145,30458.0,1288,1,2018.0
89,24616.0,363,1,2018.0
34,30700.0,343,1,2018.0
3,83500.0,236,3,2012.0
128,159800.0,1004,1,2012.0
25,96450.0,281,3,2012.0
25,83000.0,409,1,2012.0
25,102000.0,281,3,2012.0
25,90000.0,281,3,2012.0
25,1120000.0,1023,3,2012.0
145,98000.0,1516,3,2012.0
49,88120.0,190,3,2012.0
180,85000.0,843,3,2012.0
25,87000.0,93,3,2012.0
117,78000.0,136,3,2012.0
25,211000.0,281,3,2012.0
89,110000.0,428,3,2012.0
180,78500.0,1459,3,2012.0
89,91500.0,1106,3,2012.0
89,170000.0,1193,3,2012.0
145,129000.0,1288,3,2012.0
180,151240.0,843,3,2012.0
172,82000.0,511,1,2012.0
180,114000.0,753,3,2012.0
25,268000.0,93,3,2012.0
3,77000.0,234,3,2012.0
123,76000.0,464,1,2012.0
25,135000.0,1362,3,2012.0
25,170000.0,906,3,2012.0
58,121000.0,992,3,2012.0
36,115472.0,992,3,2012.0
180,20.0,268,3,2012.0
25,57000.0,532,3,2012.0
25,90900.0,409,3,2012.0
172,124000.0,800,1,2012.0
74,87344.0,93,1,2012.0
25,9000.0,250,3,2012.0
3,45000.0,242,1,2012.0
89,128000.0,1380,3,2012.0
180,91000.0,843,3,2012.0
25,99000.0,532,1,2012.0
150,75000.0,924,3,2012.0
89,84000.0,1380,3,2012.0
22,18500.0,93,3,2012.0
25,195000.0,544,3,2012.0
117,140000.0,70,3,2012.0
130,180000.0,704,3,2012.0
117,250000.0,312,3,2012.0
25,49500.0,99,3,2018.0
50,29000.0,678,1,2018.0
145,28922.0,932,1,2018.0
180,64000.0,753,1,2018.0
25,74000.0,900,3,2018.0
180,34000.0,754,1,2018.0
172,72000.0,1164,1,2018.0
117,34500.0,136,1,2018.0
145,43000.0,1395,3,2018.0
89,2870.0,1106,1,2018.0
145,88000.0,578,1,2018.0
25,29086.0,1261,1,2018.0
172,62000.0,800,1,2018.0
25,47100.0,1354,3,2018.0
117,18600.0,136,1,2018.0
25,53000.0,1481,1,2018.0
25,34000.0,1481,3,2018.0
20,94000.0,389,1,2018.0
172,19800.0,1116,1,2018.0
180,32000.0,753,3,2018.0
180,25000.0,843,1,2018.0
123,13500.0,464,1,2018.0
89,3070.0,1193,3,2018.0
145,67000.0,932,3,2018.0
89,26500.0,363,1,2018.0
117,30000.0,70,1,2018.0
50,100000.0,1179,3,2018.0
137,132000.0,142,1,2018.0
63,82000.0,1584,3,2018.0
25,430000.0,99,3,2018.0
83,43000.0,1585,1,2018.0
145,43500.0,932,1,2018.0
130,46500.0,972,1,2018.0
50,31000.0,606,1,2018.0
117,61000.0,397,1,2018.0
50,60000.0,606,1,2018.0
117,37584.0,136,1,2018.0
165,33200.0,1407,3,2018.0
130,91000.0,704,1,2018.0
145,43500.0,1288,3,2018.0
145,41000.0,1288,3,2018.0
50,50000.0,606,1,2018.0
145,55000.0,1395,3,2018.0
180,37200.0,1570,3,2018.0
130,55700.0,972,1,2018.0
89,30600.0,428,1,2018.0
50,140000.0,606,3,2012.0
145,145600.0,93,3,2012.0
25,102000.0,534,1,2012.0
25,168000.0,1362,3,2012.0
25,170000.0,250,3,2012.0
36,100000.0,992,3,2012.0
145,108500.0,684,3,2012.0
25,81000.0,532,3,2012.0
8,63000.0,212,1,2012.0
22,18500.0,93,3,2012.0
145,87000.0,1516,3,2012.0
89,50000.0,1193,3,2012.0
25,90556.21355944383,1116,3,2012.612294758021
8,56000.0,1320,1,2012.0
89,101000.0,1106,3,2012.0
74,200000.0,776,3,2012.0
130,123000.0,972,3,2012.0
117,140000.0,312,3,2012.0
25,132000.0,281,3,2012.0
123,75000.0,490,1,2012.0
3,98000.0,236,3,2012.0
180,133000.0,268,3,2012.0
25,148750.0,1362,3,2012.0
172,84500.0,700,3,2012.0
172,70000.0,691,3,2012.0
25,104000.0,281,3,2012.0
43,130000.0,850,3,2012.0
145,95000.0,932,3,2012.0
172,80000.0,656,1,2012.0
157,205000.0,258,3,2012.0
25,12500.0,1362,3,2012.0
25,134000.0,1083,3,2012.0
130,160000.0,548,3,2012.0
25,164000.0,281,3,2012.0
117,49000.0,70,3,2012.0
25,64500.0,281,3,2012.0
117,100000.0,136,3,2012.0
50,128000.0,678,3,2012.0
8,130000.0,1317,3,2012.0
74,7800.0,253,3,2012.0
145,135000.0,932,3,2012.0
117,75000.0,70,3,2012.0
130,85000.0,1460,3,2012.0
145,75000.0,494,3,2012.0
80,282000.0,786,3,2012.0
117,44000.0,136,1,2018.0
34,38000.0,346,1,2018.0
50,45000.0,634,1,2018.0
25,46000.0,1354,3,2018.0
50,45250.0,622,1,2018.0
172,60300.0,1116,1,2018.0
145,31000.0,1288,1,2018.0
25,39000.0,899,1,2018.0
145,29000.0,414,1,2018.0
25,50000.0,1481,1,2018.0
165,54000.0,1407,3,2018.0
25,39000.0,1261,1,2018.0
145,27700.0,578,3,2018.0
89,45343.0,1106,3,2018.0
25,48000.0,1261,3,2018.0
130,27000.0,870,1,2018.0
89,61000.0,1380,1,2018.0
25,45000.0,1072,3,2018.0
172,86000.0,800,1,2018.0
145,50000.0,414,3,2018.0
172,56000.0,1116,1,2018.0
